일시,작업자,대상,작업내용,상세
2026-03-11 23:03:21,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:21,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:22,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:22,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:23,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:23,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:24,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:24,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:25,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:25,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:25,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:26,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:26,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:26,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:26,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:26,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:27,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:27,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:27,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:27,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:27,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:29,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:29,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:29,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:29,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:29,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:29,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:30,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:30,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:31,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:31,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:31,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:31,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:31,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:31,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:32,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:32,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:32,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:32,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:32,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:33,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:33,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:33,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:33,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:33,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:34,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:34,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:34,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:34,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:34,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:35,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:35,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:35,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:35,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:36,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:36,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:37,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:37,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:37,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:37,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:37,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:37,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:38,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:38,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:38,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:38,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:38,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:39,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:39,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:40,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:41,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:41,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:41,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:41,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:41,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:42,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:42,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:42,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:43,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:43,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:43:30,시스템/관리자,제품 관리,제품 신규 등록,"제품코드: HL-003, 제품명: 할리스 이클립스 블렌드, 규격 2종"
2026-03-12 00:03:43,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 4건 저장
2026-03-12 00:16:39,시스템/관리자,제품 관리,제품 신규 등록,"제품코드: HL-TEST, 제품명: TEST PRODUCT, 규격: 100g, 200g, 500g"
2026-03-12 00:49:21,시스템/관리자,제품 관리,제품 규격 일괄 수정,데이터 에디터를 통한 수정
2026-03-12 00:53:38,시스템/관리자,출고 관리,출고 등록,"출하처: 물류센터, 제품 1건 등록"
2026-03-12 00:58:49,시스템/관리자,출고 관리,출고 등록,"출하처: 123, 제품 1건 등록"
2026-03-12 01:57:50,시스템/관리자,재고 관리,재고 수동조정,할리스 캡슐커피 시그니처 블렌드 수량수정( -50 ➔ 500 ) 사유: 영점
2026-03-12 01:58:18,시스템/관리자,재고 관리,재고 수동조정,할리스 캡슐커피 시그니처 블렌드 수량수정( -50 ➔ 5000 ) 사유: 영점
